dataset,version,metric,parameter,mode,qwen2.5-1.5b-instruct-hf
afqmc-dev,901306,accuracy,test,gen,66
GaokaoBench_2010-2022_Math_II_MCQs,5b0b29,score,文本问答,gen,66
GaokaoBench_2010-2022_Math_I_MCQs,5b0b29,score,文本问答,gen,56
GaokaoBench_2010-2022_History_MCQs,3613b5,score,文本问答,gen,58
GaokaoBench_2010-2022_Biology_MCQs,d26e80,score,文本问答,gen,62
GaokaoBench_2010-2022_Political_Science_MCQs,70fce9,score,文本问答,gen,78
GaokaoBench_2010-2022_Physics_MCQs,8a0c30,score,文本问答,gen,25
GaokaoBench_2010-2022_Chemistry_MCQs,852bbd,score,文本问答,gen,24
GaokaoBench_2010-2013_English_MCQs,01b50f,score,文本问答,gen,68
GaokaoBench_2010-2022_Chinese_Modern_Lit,e19c31,score,文本问答,gen,41.38
GaokaoBench_2010-2022_English_Fill_in_Blanks,924021,score,文本问答,gen,39.67
GaokaoBench_2012-2022_English_Cloze_Test,11f6ce,score,文本问答,gen,19.23
GaokaoBench_2010-2022_Geography_MCQs,862192,score,文本问答,gen,55.79
GaokaoBench_2010-2022_English_Reading_Comp,ffdef4,score,文本问答,gen,61.66
GaokaoBench_2010-2022_Chinese_Lang_and_Usage_MCQs,ba10b2,score,文本问答,gen,32.26
GaokaoBench_2010-2022_Math_I_Fill-in-the-Blank,9dd6c7,score,文本问答,gen,0
GaokaoBench_2010-2022_Math_II_Fill-in-the-Blank,9dd6c7,score,文本问答,gen,0
GaokaoBench_2010-2022_Chinese_Language_Famous_Passages_and_Sentences_Dictation,58053d,score,文本问答,gen,0
GaokaoBench_2014-2022_English_Language_Cloze_Passage,d431f7,score,文本问答,gen,0
GaokaoBench_2010-2022_Geography_Open-ended_Questions,475d13,score,文本问答,gen,0
GaokaoBench_2010-2022_Chemistry_Open-ended_Questions,0bccc3,score,文本问答,gen,0
GaokaoBench_2010-2022_Math_I_Open-ended_Questions,8a0cf5,score,文本问答,gen,0
GaokaoBench_2010-2022_History_Open-ended_Questions,9fbad8,score,文本问答,gen,0
GaokaoBench_2010-2022_Biology_Open-ended_Questions,e0cb29,score,文本问答,gen,0
GaokaoBench_2010-2022_Math_II_Open-ended_Questions,8a0cf5,score,文本问答,gen,0
GaokaoBench_2010-2022_Physics_Open-ended_Questions,423d19,score,文本问答,gen,0
GaokaoBench_2010-2022_Political_Science_Open-ended_Questions,0eee0a,score,文本问答,gen,0
GaokaoBench_2012-2022_English_Language_Error_Correction,6a3cae,score,文本问答,gen,0
GaokaoBench_2010-2022_Chinese_Language_Ancient_Poetry_Reading,ee6cc7,score,文本问答,gen,0
GaokaoBench_2010-2022_Chinese_Language_Practical_Text_Reading,4dea5a,score,文本问答,gen,0
GaokaoBench_2010-2022_Chinese_Language_Literary_Text_Reading,979d8b,score,文本问答,gen,0
GaokaoBench_2010-2022_Chinese_Language_Classical_Chinese_Reading,9de717,score,文本问答,gen,0
GaokaoBench_2010-2022_Chinese_Language_Language_and_Writing_Skills_Open-ended_Questions,d2ed84,score,文本问答,gen,0
tydiqa-goldp_arabic,3d688e,f1,文本问答,gen,38.17
tydiqa-goldp_arabic,3d688e,exact_match,文本问答,gen,6
tydiqa-goldp_bengali,ed3379,f1,文本问答,gen,21.23
tydiqa-goldp_bengali,ed3379,exact_match,文本问答,gen,0
tydiqa-goldp_english,38da40,f1,文本问答,gen,12.69
tydiqa-goldp_english,38da40,exact_match,文本问答,gen,0
tydiqa-goldp_finnish,4adb40,f1,文本问答,gen,17.63
tydiqa-goldp_finnish,4adb40,exact_match,文本问答,gen,0
tydiqa-goldp_indonesian,7b2a2a,f1,文本问答,gen,22.71
tydiqa-goldp_indonesian,7b2a2a,exact_match,文本问答,gen,8
tydiqa-goldp_japanese,8e7cb9,f1,文本问答,gen,2
tydiqa-goldp_japanese,8e7cb9,exact_match,文本问答,gen,2
tydiqa-goldp_korean,5be5b3,f1,文本问答,gen,23.62
tydiqa-goldp_korean,5be5b3,exact_match,文本问答,gen,12
tydiqa-goldp_russian,4070c2,f1,文本问答,gen,18.9
tydiqa-goldp_russian,4070c2,exact_match,文本问答,gen,4
tydiqa-goldp_swahili,97110f,f1,文本问答,gen,6.35
tydiqa-goldp_swahili,97110f,exact_match,文本问答,gen,0
tydiqa-goldp_telugu,df948c,f1,文本问答,gen,2.2
tydiqa-goldp_telugu,df948c,exact_match,文本问答,gen,0
tydiqa-goldp_thai,3e6b28,f1,文本问答,gen,30.41
tydiqa-goldp_thai,3e6b28,exact_match,文本问答,gen,0
triviaqa,2121ce,score,文本问答,gen,42
nq,c788f6,score,文本问答,gen,18
C3,8c358f,accuracy,test,gen,80
race-middle,9a54b6,accuracy,长文本理解,gen,88,
race-high,9a54b6,accuracy,长文本理解,gen,82,
lcsts,8ee1fe,rouge1,摘要总结,gen,17.98
lcsts,8ee1fe,rouge2,摘要总结,gen,5.83
lcsts,8ee1fe,rougeL,摘要总结,gen,15.36
Xsum,31397e,rouge1,摘要总结,gen,22.11
Xsum,31397e,rouge2,摘要总结,gen,4.66
Xsum,31397e,rougeL,摘要总结,gen,14.41
Xsum,31397e,rougeLsum,摘要总结,gen,14.44
lambada,2.17E+13,accuracy,常识推理,gen,32
COPA,91ca53,accuracy,文本分类,gen,70
ReCoRD,30dea0,score,文本分类,gen,28
math,393424,accuracy,数学推理,gen,40
gsm8k,1d7fe4,accuracy,数学推理,gen,62
drop,8a9ed9,score,长文本理解,gen,48,
mbpp,1e1056,score,代码生成,gen,42
mbpp,1e1056,pass,代码生成,gen,21
mbpp,1e1056,timeout,代码生成,gen,0
mbpp,1e1056,failed,代码生成,gen,7
mbpp,1e1056,wrong_answer,代码生成,gen,22
bbh-temporal_sequences,e43931,score,代码理解,gen,20
bbh-disambiguation_qa,d52c61,score,代码理解,gen,36
bbh-date_understanding,a8000b,score,代码理解,gen,36
bbh-tracking_shuffled_objects_three_objects,7964c0,score,代码理解,gen,36
bbh-penguins_in_a_table,fceb27,score,代码理解,gen,54
bbh-geometric_shapes,503c8f,score,代码理解,gen,8
bbh-snarks,42d6ca,score,代码理解,gen,62
bbh-ruin_names,408de8,score,代码理解,gen,34
bbh-tracking_shuffled_objects_seven_objects,7964c0,score,代码理解,gen,12
bbh-tracking_shuffled_objects_five_objects,7964c0,score,代码理解,gen,18
bbh-logical_deduction_three_objects,45ebc5,score,代码理解,gen,50
bbh-hyperbaton,5e5016,score,代码理解,gen,76
bbh-logical_deduction_five_objects,45ebc5,score,代码理解,gen,20
bbh-logical_deduction_seven_objects,45ebc5,score,代码理解,gen,12
bbh-movie_recommendation,cc2fde,score,代码理解,gen,50
bbh-salient_translation_error_detection,5b5f35,score,代码理解,gen,46
bbh-reasoning_about_colored_objects,1cb761,score,代码理解,gen,62
bbh-multistep_arithmetic_two,30f91e,score,代码理解,gen,60
bbh-navigate,1576d9,score,代码理解,gen,70
bbh-dyck_languages,805bea,score,代码理解,gen,0
bbh-word_sorting,9a3f78,score,代码理解,gen,2
bbh-sports_understanding,d3fa77,score,代码理解,gen,42
bbh-boolean_expressions,612c92,score,代码理解,gen,86
bbh-object_counting,781e5c,score,代码理解,gen,54
bbh-formal_fallacies,eada96,score,代码理解,gen,4
bbh-causal_judgement,89eaa4,score,代码理解,gen,52
bbh-web_of_lies,0c0441,score,代码理解,gen,70
lukaemon_mmlu_college_biology,caec7d,accuracy,文本问答,gen,72
lukaemon_mmlu_college_chemistry,520aa6,accuracy,文本问答,gen,42
lukaemon_mmlu_college_computer_science,99c216,accuracy,文本问答,gen,56
lukaemon_mmlu_college_mathematics,678751,accuracy,文本问答,gen,44
lukaemon_mmlu_college_physics,4f382c,accuracy,文本问答,gen,44
lukaemon_mmlu_electrical_engineering,770ce3,accuracy,文本问答,gen,66
lukaemon_mmlu_astronomy,d3ee01,accuracy,文本问答,gen,74
lukaemon_mmlu_anatomy,72183b,accuracy,文本问答,gen,50
lukaemon_mmlu_abstract_algebra,2db373,accuracy,文本问答,gen,38
lukaemon_mmlu_machine_learning,0283bb,accuracy,文本问答,gen,48
lukaemon_mmlu_clinical_knowledge,cb3218,accuracy,文本问答,gen,68
lukaemon_mmlu_global_facts,ab07b6,accuracy,文本问答,gen,24
lukaemon_mmlu_management,80876d,accuracy,文本问答,gen,82
lukaemon_mmlu_nutrition,4543bd,accuracy,文本问答,gen,68
lukaemon_mmlu_marketing,7.39E+06,accuracy,文本问答,gen,90
lukaemon_mmlu_professional_accounting,444b7f,accuracy,文本问答,gen,46
lukaemon_mmlu_high_school_geography,7.80E+08,accuracy,文本问答,gen,74
lukaemon_mmlu_international_law,cf3179,accuracy,文本问答,gen,78
lukaemon_mmlu_moral_scenarios,f6dbe2,accuracy,文本问答,gen,32
lukaemon_mmlu_computer_security,ce7550,accuracy,文本问答,gen,78
lukaemon_mmlu_high_school_microeconomics,04d21a,accuracy,文本问答,gen,70
lukaemon_mmlu_professional_law,5f7e6c,accuracy,文本问答,gen,44
lukaemon_mmlu_medical_genetics,881ef5,accuracy,文本问答,gen,70
lukaemon_mmlu_professional_psychology,221a16,accuracy,文本问答,gen,72
lukaemon_mmlu_jurisprudence,001f24,accuracy,文本问答,gen,76
lukaemon_mmlu_world_religions,232c09,accuracy,文本问答,gen,82
lukaemon_mmlu_philosophy,08042b,accuracy,文本问答,gen,68
lukaemon_mmlu_virology,1.20E+271,accuracy,文本问答,gen,48
lukaemon_mmlu_high_school_chemistry,ae8820,accuracy,文本问答,gen,60
lukaemon_mmlu_public_relations,e7d39b,accuracy,文本问答,gen,62
lukaemon_mmlu_high_school_macroeconomics,a01685,accuracy,文本问答,gen,70
lukaemon_mmlu_human_sexuality,42407c,accuracy,文本问答,gen,74
lukaemon_mmlu_elementary_mathematics,269926,accuracy,文本问答,gen,48
lukaemon_mmlu_high_school_physics,93278f,accuracy,文本问答,gen,36
lukaemon_mmlu_high_school_computer_science,9965a5,accuracy,文本问答,gen,68
lukaemon_mmlu_high_school_european_history,eefc90,accuracy,文本问答,gen,72
lukaemon_mmlu_business_ethics,1-Dec-08,accuracy,文本问答,gen,70
lukaemon_mmlu_moral_disputes,a2173e,accuracy,文本问答,gen,62
lukaemon_mmlu_high_school_statistics,8f3f3a,accuracy,文本问答,gen,44
lukaemon_mmlu_miscellaneous,935647,accuracy,文本问答,gen,66
lukaemon_mmlu_formal_logic,cfcb0c,accuracy,文本问答,gen,52
lukaemon_mmlu_high_school_government_and_politics,3c52f9,accuracy,文本问答,gen,88
lukaemon_mmlu_prehistory,bbb197,accuracy,文本问答,gen,66
lukaemon_mmlu_security_studies,9b1743,accuracy,文本问答,gen,64
lukaemon_mmlu_high_school_biology,37b125,accuracy,文本问答,gen,76
lukaemon_mmlu_logical_fallacies,9cebb0,accuracy,文本问答,gen,76
lukaemon_mmlu_high_school_world_history,048e7e,accuracy,文本问答,gen,76
lukaemon_mmlu_professional_medicine,857144,accuracy,文本问答,gen,52
lukaemon_mmlu_high_school_mathematics,ed4dc0,accuracy,文本问答,gen,28
lukaemon_mmlu_college_medicine,38709e,accuracy,文本问答,gen,70
lukaemon_mmlu_high_school_us_history,8932df,accuracy,文本问答,gen,66
lukaemon_mmlu_sociology,c266a2,accuracy,文本问答,gen,68
lukaemon_mmlu_econometrics,d1134d,accuracy,文本问答,gen,36
lukaemon_mmlu_high_school_psychology,7db114,accuracy,文本问答,gen,80
lukaemon_mmlu_human_aging,82a410,accuracy,文本问答,gen,68
lukaemon_mmlu_us_foreign_policy,528cfe,accuracy,文本问答,gen,78
lukaemon_mmlu_conceptual_physics,63588e,accuracy,文本问答,gen,76
cmmlu-agronomy,4c7f2c,accuracy,文本问答,gen,44
cmmlu-anatomy,ea09bf,accuracy,文本问答,gen,52
cmmlu-ancient_chinese,f7c97f,accuracy,文本问答,gen,38
cmmlu-arts,dd77b8,accuracy,文本问答,gen,96
cmmlu-astronomy,1e49db,accuracy,文本问答,gen,50
cmmlu-business_ethics,dc78cb,accuracy,文本问答,gen,64
cmmlu-chinese_civil_service_exam,1de82c,accuracy,文本问答,gen,54
cmmlu-chinese_driving_rule,b8a42b,accuracy,文本问答,gen,88
cmmlu-chinese_food_culture,2d568a,accuracy,文本问答,gen,52
cmmlu-chinese_foreign_policy,dc2427,accuracy,文本问答,gen,64
cmmlu-chinese_history,4cc7ed,accuracy,文本问答,gen,66
cmmlu-chinese_literature,af3c41,accuracy,文本问答,gen,52
cmmlu-chinese_teacher_qualification,87de11,accuracy,文本问答,gen,88
cmmlu-clinical_knowledge,c55b1d,accuracy,文本问答,gen,50
cmmlu-college_actuarial_science,d3c360,accuracy,文本问答,gen,26
cmmlu-college_education,df8790,accuracy,文本问答,gen,76
cmmlu-college_engineering_hydrology,673f23,accuracy,文本问答,gen,54
cmmlu-college_law,524c3a,accuracy,文本问答,gen,48
cmmlu-college_mathematics,e4ebad,accuracy,文本问答,gen,44
cmmlu-college_medical_statistics,55af35,accuracy,文本问答,gen,54
cmmlu-college_medicine,702f48,accuracy,文本问答,gen,72
cmmlu-computer_science,637007,accuracy,文本问答,gen,82
cmmlu-computer_security,932b6b,accuracy,文本问答,gen,84
cmmlu-conceptual_physics,cfc077,accuracy,文本问答,gen,74
cmmlu-construction_project_management,968a4a,accuracy,文本问答,gen,58
cmmlu-economics,ddaf7c,accuracy,文本问答,gen,80
cmmlu-education,c35963,accuracy,文本问答,gen,68
cmmlu-electrical_engineering,70e98a,accuracy,文本问答,gen,60
cmmlu-elementary_chinese,cbcd6a,accuracy,文本问答,gen,70
cmmlu-elementary_commonsense,a67f37,accuracy,文本问答,gen,78
cmmlu-elementary_information_and_technology,d34d2a,accuracy,文本问答,gen,84
cmmlu-elementary_mathematics,a9d403,accuracy,文本问答,gen,46
cmmlu-ethnology,31955f,accuracy,文本问答,gen,66
cmmlu-food_science,741d8e,accuracy,文本问答,gen,52
cmmlu-genetics,c326f7,accuracy,文本问答,gen,46
cmmlu-global_facts,0a1236,accuracy,文本问答,gen,62
cmmlu-high_school_biology,2be811,accuracy,文本问答,gen,62
cmmlu-high_school_chemistry,d63c05,accuracy,文本问答,gen,46
cmmlu-high_school_geography,5cd489,accuracy,文本问答,gen,66
cmmlu-high_school_mathematics,6b2087,accuracy,文本问答,gen,46
cmmlu-high_school_physics,3df353,accuracy,文本问答,gen,52
cmmlu-high_school_politics,7a88d8,accuracy,文本问答,gen,62
cmmlu-human_sexuality,54ac98,accuracy,文本问答,gen,58
cmmlu-international_law,0f5d40,accuracy,文本问答,gen,38
cmmlu-journalism,a4f6a0,accuracy,文本问答,gen,56
cmmlu-jurisprudence,7843da,accuracy,文本问答,gen,68
cmmlu-legal_and_moral_basis,f906b0,accuracy,文本问答,gen,96
cmmlu-logical,15a71b,accuracy,文本问答,gen,50
cmmlu-machine_learning,bc6ad4,accuracy,文本问答,gen,56
cmmlu-management,e5e8db,accuracy,文本问答,gen,70
cmmlu-marketing,8b4c18,accuracy,文本问答,gen,62
cmmlu-marxist_theory,75eb79,accuracy,文本问答,gen,94
cmmlu-modern_chinese,83a9b7,accuracy,文本问答,gen,42
cmmlu-nutrition,adfff7,accuracy,文本问答,gen,72
cmmlu-philosophy,75e22d,accuracy,文本问答,gen,72
cmmlu-professional_accounting,0edc91,accuracy,文本问答,gen,76
cmmlu-professional_law,d24af5,accuracy,文本问答,gen,58
cmmlu-professional_medicine,134139,accuracy,文本问答,gen,66
cmmlu-professional_psychology,ec920e,accuracy,文本问答,gen,78
cmmlu-public_relations,70ee06,accuracy,文本问答,gen,54
cmmlu-security_study,45f96f,accuracy,文本问答,gen,72
cmmlu-sociology,485285,accuracy,文本问答,gen,64
cmmlu-sports_science,838cfe,accuracy,文本问答,gen,66
cmmlu-traditional_chinese_medicine,3bbf64,accuracy,文本问答,gen,70
cmmlu-virology,8925bf,accuracy,文本问答,gen,64
cmmlu-world_history,57c97c,accuracy,文本问答,gen,66
cmmlu-world_religions,1d0f4b,accuracy,文本问答,gen,70
